ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,time,obs_value,obs_status,obs_status.label,note_indicator,note_indicator.label,note_source,note_source.label
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_TOTAL,"Occupation (ISCO-08), 2 digit level: Total",2017,6396.534,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_01,"Occupation (ISCO-08), 2 digit level: 01 - Commissioned armed forces officers",2017,14.298,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_02,"Occupation (ISCO-08), 2 digit level: 02 - Non-commissioned armed forces officers",2017,4.812,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_03,"Occupation (ISCO-08), 2 digit level: 03 - Armed forces occupations, other ranks",2017,213.766,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_11,"Occupation (ISCO-08), 2 digit level: 11 - Chief executives, senior officials and legislators",2017,7.3,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_12,"Occupation (ISCO-08), 2 digit level: 12 - Administrative and commercial managers",2017,2.79,U,Unreliable,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_13,"Occupation (ISCO-08), 2 digit level: 13 - Production and specialised services managers",2017,2.835,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_14,"Occupation (ISCO-08), 2 digit level: 14 - Hospitality, retail and other services managers",2017,30.902,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_21,"Occupation (ISCO-08), 2 digit level: 21 - Science and engineering professionals",2017,11.471,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AFG,Afghanistan,BB:6361,AFG - HIES - Living Condition Survey,EMP_TEMP_SEX_OC2_NB,Employment by sex and occupation - ISCO level 2 (thousands),SEX_T,Sex: Total,OC2_ISCO08_22,"Occupation (ISCO-08), 2 digit level: 22 - Health professionals",2017,37.676,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
